0xD35B4A58, bb
0xA805051B, setempjammed
0x23BAC6C1, reload_multi
0x19FB7B0B, invis_delay
0xEB80331B, take_away_delay
0x63A93B61, previous_clip
0x1CAB7F65, previous_weapon
0xA775FF94, setperk
0xC72DEA74, unsetperk
0xD6B15105, setpointstowin
0x2E3B1DDB, scorelimit
0x6F96F22D, riotshield_melee
0x915F06EC, infrared
0x33BD22AA, setinfraredvision
0x782FA134, game
0xC4E89109, state
0xF5B5552C, notify
0x9766EB97, deathcircle
0x3B3C3E02, hero_weapon
0x28747C75, i
0x374B327D, _gadgets_player
0xE9082253, a_killbrushes
0xD279413D, getentarray
0xAF13FCDD, sky_box
0xD95836B1, death_barrier
0x5430BAF1, set
0x8D72F049, val
0x4A6B9A4C, reset
0xDAC0824C, register
0xE90FD9B0, system
0x4D0D4F6A, on_start_gametype
0x7DAB3BB8, callback
0x348AF419, on_spawned
0xC20ABDC3, maxallocation
0x5D7925AF, original
0x364943FC, menuthreaded
0xE5F5767D, menuname
0x85CF58F1, menudeveloper
0x8E1F5A5F, autoverify
0xAEBD513B, strtok
0xC61CE003, menustatus
0xA5E703C4, ishost
0x991DA49F, playersetting
0x98858A45, iprintln
0xE82DFD3F, definedvariables
0x7F7201FA, menu
0x618DB9E5, getstance
0xFE31E10E, exitlevel
0xA7B2186, grenade
0xCD86A84B, projectile
0xD30078EA, ffceef7a-0386-42d9-99bd-5c3d4a420c85
0x526F1E6D, foundplayer
0xCCDB982F, sepmenu
0x2AA02081, 90f385eb-2aef-4c64-bda8-a9a3876f9cb1
0x29B416A4, 1ce94324-b2d0-44b9-9579-ec331d77b6ed
0xEF4BBB5B, d8010c31-dae8-49c7-9a41-97cc15a3d3c9
0x9B89EC5A, e1d646cb-d1ce-4048-af80-bc692419e480
0x4CAB5F85, d321afff-8e60-4020-aea1-ea3c4816decc
0x7529C4B6, b1093da4-c168-4ca7-92f0-fea8b91b2fed
0xEE94BE5B, c5c825b9-fbe3-4bfb-be2b-5d323fc77ef1
0x6C7E02D9, 2da5ad13-8500-4a09-ab19-23c654d021a5
0x93CE638F, 74ec7cac-63b7-4f62-830c-90111aa71686
0x3B0DCF6F, 836953da-24b8-416d-bb33-4bcd1f22497a
0xAE02FC8, 639901dc-5722-45c7-bedf-54914b9e9149
0xFC04575E, 82a1f0c3-a049-4120-b857-a350f1c599af
0xB8533100, supportedattachments
0xBD3940B, getentitynumber
0x796FECBE, 726b8609-67be-431b-afad-2f378b7821be
0xAC7AE1BF, inc
0x3F03C370, curs
0x403E643E, arry
0x44DE3661, gamepadusedlast
0x9892E0FD, actionslotonebuttonpressed
0x9A24A207, actionslottwobuttonpressed
0x159E1B60, usebuttonpressed
0xD3FDDAAF, slider
0x661273A5, incslider
0x7267E1A9, input4
0x63A54424, input3
0x95E4A8A2, input2
0x892B0F2F, input1
0x15034E66, menu_ss
0x8E828E44, menu_s
0x8F2C1038, bool
0x13A38BF2, actionslotthreebuttonpressed
0x54709742, actionslotfourbuttonpressed
0xE350EAC1, secondaryoffhandbuttonpressed
0x86842DFD, fragbuttonpressed
0x16131FB9, intincrement
0xD46AE1F6, function
0x209C562D, i1
0xA08FD616, i2
0x52D53AA2, i3
0x45709FD9, i4
0x67C3E47F, i5
0xE7896404, i6
0x5026CAD6, printsize
0xC9F3BA19, str
0xCE97EE60, text
0x2BAD76D3, numopts
0x9E0E664A, title
0x4EB63B8A, gettime
0xEC951849, lastrefresh
0xB0EAD2F8, menu_b
0xB1439CFB, menuparent
0x39984A0F, temp
0xB74AB703, name2
0xEF3C1F23, incslidermin
0xBA3471A7, incsliderstart
0x5A0B101B, incslidermax
0x79851764, menu_st
0x5107AEB0, count
0x8E01F173, var
0x2012C955, min
0x3E83A132, max
0x6DF92736, increment
0xCE63585A, vals
0x5117DFCC, getsubstr
0x9096AE65, array
0xDBA83C1A, newarray
0x96700090, model
0x31C4C16D, ent
0xD87C4CA9, msg
0xCCB197BB, c8f2648b-f5f3-42c5-89e0-c64bd4af8f80
0xC4CDEC28, 36f08458-427d-47eb-9ec8-1fc0f12ac076
0x799B4AB0, 907737d2-4b35-4441-98b5-8f33b66d5e94
0x901FF898, 4f71377d-afdf-4006-93b0-73a9bb8e8525
